Token,Average Similarity
ἀκριβής,-0.02201390130133125
πούς,0.07250665159888922
θερμός,0.02977403289747847
τάξις,0.04347599164798593
διαιρέω,0.0348453903482188
χρεία,0.041800479589738926
ζωή,0.03346355278509038
πρέσβυς,0.04982838681195746
οὐκέτι,-0.023999644432115042
ὁρίζω,-0.006322310924413534
τέλειος,0.04449689761126579
κεράτια,0.06937605208930266
ὀφθαλμός,0.053100121772371445
αὖθις,0.059576241192943746
ἀπόδειξις,0.0004734948844179821
νύξ,0.050203362394012505
ἕλλην,0.05275319241159581
εἴπερ,-0.06342412622311716
καθίστημι,0.06438615912019052
εὖ,-0.021430915661475654
πολέμιος,0.0848787223583785
που,-0.029259000798018173
χρῆμα,0.05030922147382732
ὕστερον,-0.0006134930957756475
πάνυ,-0.01638282568961725
φεύγω,0.07627051289492169
στρατηγός,0.06216463424072286
ἱκανός,0.019934585746500463
πρᾶξις,0.053446972243116626
γνώμη,0.0459304725288225
ἀριστοτέλης,0.024492822439896384
φανερός,0.0015246893816402657
ποταμός,0.05342267919269206
ἥμισυς,0.018772524245238113
ὅθεν,-0.00856149510302414
ἤπειρος,0.048995739951187896
τέταρτος,0.032137617305975814
σπέρμα,0.05013790882100696
ὁρισμός,-0.025731174060157746
δεινός,0.07230277146046224
ἐπάγω,0.02417751666364819
μεταβάλλω,0.04956254067278522
ἔπειτα,0.05720502356886466
φυλάσσω,0.051691682498062295
δεσπότης,0.037994938222297055
ἄμφω,0.0469740292638895
νέος,0.07738757093537689
πτολεμαῖος,0.06365880709231357
δημόσιος,0.059742750909508924
ἔξω,0.04123888214270043
φάρμακον,0.02105810147796396
γεννάω,0.03316942964187952
δίκη,0.047280834504403554
λίθος,0.08223833704492695
ἐκκλησία,0.07372806135669124
συνίστημι,0.0370486999377354
ἔνιοι,0.025426410486137887
περιέχω,0.03362715430174931
λαός,0.08107542472688478
σῴζω,0.02077969625063703
ἡμέτερος,0.037009801022222
νόσος,0.05972638353093808
