46001002016|πᾶσιν|46001002018|adjp|id="n46001002016"|ref="1CO 1:2!16"|Cat="adj"|Start="27"|End="27"|StrongNumber="3956"|UnicodeLemma="πᾶς"|Gender="Masculine"|Number="Plural"|FunctionalTag="A-DPM"|Type=""|morphId="46001002016"|NormalizedForm="πᾶσιν"|Case="Dative"|Unicode="πᾶσιν"|FormalTag="A-DPM"|nodeId="460010020160010"|Gloss="all"|LexDomain="059003"|LN="59.23"
46001002017|τοῖς|46001002018|det|id="n46001002017"|ref="1CO 1:2!17"|Cat="det"|Start="28"|End="28"|StrongNumber="3588"|UnicodeLemma="ὁ"|Gender="Masculine"|Number="Plural"|FunctionalTag="T-DPM"|Type=""|morphId="46001002017"|NormalizedForm="τοῖς"|Case="Dative"|Unicode="τοῖς"|FormalTag="T-DPM"|nodeId="460010020170010"|Gloss="those"|LexDomain="092004"|LN="92.24"
46001002018|ἐπικαλουμένοις|46001002014|pp|id="n46001002018"|ref="1CO 1:2!18"|Cat="verb"|Start="29"|End="29"|StrongNumber="1941"|UnicodeLemma="ἐπικαλέω"|Gender="Masculine"|Mood="Participle"|Tense="Present"|Number="Plural"|FunctionalTag="V-PMP-DPM"|Type=""|morphId="46001002018"|NormalizedForm="ἐπικαλουμένοις"|Case="Dative"|Unicode="ἐπικαλουμένοις"|FormalTag="V-PEP-DPM"|Voice="Middle"|nodeId="460010020180010"|Gloss="calling on"|Frame="A0:n00000000000 A1:n46001002020"|LexDomain="033012"|LN="33.176"
46001002019|τὸ|46001002020|det|id="n46001002019"|ref="1CO 1:2!19"|Cat="det"|Start="30"|End="30"|StrongNumber="3588"|UnicodeLemma="ὁ"|Gender="Neuter"|Number="Singular"|FunctionalTag="T-ASN"|Type=""|morphId="46001002019"|NormalizedForm="τό"|Case="Accusative"|Unicode="τὸ"|FormalTag="T-ASN"|nodeId="460010020190010"|Gloss="the"|LexDomain="092004"|LN="92.24"
46001002020|ὄνομα|46001002018|O|id="n46001002020"|ref="1CO 1:2!20"|Cat="noun"|Start="31"|End="31"|StrongNumber="3686"|UnicodeLemma="ὄνομα"|Gender="Neuter"|Number="Singular"|FunctionalTag="N-ASN"|Type="Common"|morphId="46001002020"|NormalizedForm="ὄνομα"|Case="Accusative"|Unicode="ὄνομα"|FormalTag="N-ASN"|nodeId="460010020200010"|Gloss="name"|LexDomain="009001"|LN="9.19"
46001002021|τοῦ|46001002022|det|id="n46001002021"|ref="1CO 1:2!21"|Cat="det"|Start="32"|End="32"|StrongNumber="3588"|UnicodeLemma="ὁ"|Gender="Masculine"|Number="Singular"|FunctionalTag="T-GSM"|Type=""|morphId="46001002021"|NormalizedForm="τοῦ"|Case="Genitive"|Unicode="τοῦ"|FormalTag="T-GSM"|nodeId="460010020210010"|Gloss="of the"|LexDomain="092004"|LN="92.24"
46001002022|Κυρίου|46001002020|np|id="n46001002022"|ref="1CO 1:2!22"|Cat="noun"|Start="33"|End="33"|StrongNumber="2962"|UnicodeLemma="κύριος"|Gender="Masculine"|Number="Singular"|FunctionalTag="N-GSM"|Type="Common"|morphId="46001002022"|NormalizedForm="Κυρίου"|Case="Genitive"|Unicode="Κυρίου"|FormalTag="N-GSM"|nodeId="460010020220010"|Gloss="Lord"|LexDomain="012001"|LN="12.9{N:001}"
46001002023|ἡμῶν|46001002022|np|id="n46001002023"|ref="1CO 1:2!23"|Cat="pron"|Start="34"|End="34"|StrongNumber="1473"|UnicodeLemma="ἐγώ"|Number="Plural"|FunctionalTag="P-1GP"|Type="Personal"|morphId="46001002023"|NormalizedForm="ἡμῶν"|Case="Genitive"|Unicode="ἡμῶν"|FormalTag="P-1GP"|nodeId="460010020230010"|Gloss="of us"|Ref="n46001001001 n46001001010 n46001002002"|LexDomain="092002"|LN="92.4"
46001002024|Ἰησοῦ|46001002022|np|id="n46001002024"|ref="1CO 1:2!24"|Cat="noun"|Start="35"|End="35"|StrongNumber="2424"|UnicodeLemma="Ἰησοῦς"|Gender="Masculine"|Number="Singular"|FunctionalTag="N-GSM"|Type="Proper"|morphId="46001002024"|NormalizedForm="Ἰησοῦ"|Case="Genitive"|Unicode="Ἰησοῦ"|FormalTag="N-GSM"|nodeId="460010020240010"|Gloss="Jesus"|LexDomain="093001"|LN="93.169a"
46001002025|Χριστοῦ|46001002024|np|id="n46001002025"|ref="1CO 1:2!25"|Cat="noun"|Start="36"|End="36"|StrongNumber="5547"|UnicodeLemma="Χριστός"|Gender="Masculine"|Number="Singular"|FunctionalTag="N-GSM"|Type="Proper"|morphId="46001002025"|NormalizedForm="Χριστοῦ"|Case="Genitive"|Unicode="Χριστοῦ"|FormalTag="N-GSM"|nodeId="460010020250010"|Gloss="Christ"|LexDomain="093001"|LN="93.387"
46001002026|ἐν|46001002028|prep|id="n46001002026"|ref="1CO 1:2!26"|Cat="prep"|Start="37"|End="37"|StrongNumber="1722"|UnicodeLemma="ἐν"|FunctionalTag="PREP"|Type=""|morphId="46001002026"|NormalizedForm="ἐν"|Unicode="ἐν"|FormalTag="PREP"|nodeId="460010020260010"|Gloss="in"|LexDomain="083003"|LN="83.13"
