47001001023|πᾶσιν|47001001022|adjp|id="n47001001023"|ref="2CO 1:1!23"|Cat="adj"|Start="22"|End="22"|StrongNumber="3956"|UnicodeLemma="πᾶς"|Gender="Masculine"|Number="Plural"|FunctionalTag="A-DPM"|Type=""|morphId="47001001023"|NormalizedForm="πᾶσιν"|Case="Dative"|Unicode="πᾶσιν"|FormalTag="A-DPM"|nodeId="470010010230010"|Gloss="all"|LexDomain="059003"|LN="59.23"
47001001024|τοῖς|47001001029|det|id="n47001001024"|ref="2CO 1:1!24"|Cat="det"|Start="23"|End="23"|StrongNumber="3588"|UnicodeLemma="ὁ"|Gender="Masculine"|Number="Plural"|FunctionalTag="T-DPM"|Type=""|morphId="47001001024"|NormalizedForm="τοῖς"|Case="Dative"|Unicode="τοῖς"|FormalTag="T-DPM"|nodeId="470010010240010"|Gloss="-"|LexDomain="092004"|LN="92.24"
47001001025|οὖσιν|47001001029|VC|id="n47001001025"|ref="2CO 1:1!25"|Cat="verb"|Start="24"|End="24"|StrongNumber="1510"|UnicodeLemma="εἰμί"|Gender="Masculine"|Mood="Participle"|Tense="Present"|Number="Plural"|FunctionalTag="V-PAP-DPM"|Type=""|morphId="47001001025"|NormalizedForm="οὖσιν"|Case="Dative"|Unicode="οὖσιν"|FormalTag="V-PAP-DPM"|Voice="Active"|nodeId="470010010250010"|Gloss="being"|SubjRef="n47001001022"|LexDomain="085001"|LN="85.1"
47001001026|ἐν|47001001029|prep|id="n47001001026"|ref="2CO 1:1!26"|Cat="prep"|Start="25"|End="25"|StrongNumber="1722"|UnicodeLemma="ἐν"|FunctionalTag="PREP"|Type=""|morphId="47001001026"|NormalizedForm="ἐν"|Unicode="ἐν"|FormalTag="PREP"|nodeId="470010010260010"|Gloss="in"|LexDomain="083003"|LN="83.13"
47001001027|ὅλῃ|47001001029|adjp|id="n47001001027"|ref="2CO 1:1!27"|Cat="adj"|Start="26"|End="26"|StrongNumber="3650"|UnicodeLemma="ὅλος"|Gender="Feminine"|Number="Singular"|FunctionalTag="A-DSF"|Type=""|morphId="47001001027"|NormalizedForm="ὅλῃ"|Case="Dative"|Unicode="ὅλῃ"|FormalTag="A-DSF"|nodeId="470010010270010"|Gloss="all"|LexDomain="063001"|LN="63.1"
47001001028|τῇ|47001001029|det|id="n47001001028"|ref="2CO 1:1!28"|Cat="det"|Start="27"|End="27"|StrongNumber="3588"|UnicodeLemma="ὁ"|Gender="Feminine"|Number="Singular"|FunctionalTag="T-DSF"|Type=""|morphId="47001001028"|NormalizedForm="τῇ"|Case="Dative"|Unicode="τῇ"|FormalTag="T-DSF"|nodeId="470010010280010"|Gloss="-"|LexDomain="092004"|LN="92.24"
47001001029|Ἀχαΐᾳ·|47001001022|np|id="n47001001029"|ref="2CO 1:1!29"|Cat="noun"|Start="28"|End="28"|StrongNumber="882"|UnicodeLemma="Ἀχαΐα"|Gender="Feminine"|Number="Singular"|FunctionalTag="N-DSF"|Type="Proper"|morphId="47001001029"|NormalizedForm="Ἀχαΐᾳ"|Case="Dative"|Unicode="Ἀχαΐᾳ·"|FormalTag="N-DSF"|nodeId="470010010290010"|Gloss="Achaia"|LexDomain="093002"|LN="93.419"
47001002002|ὑμῖν|47001002001|IO|id="n47001002002"|ref="2CO 1:2!2"|Cat="pron"|Start="0"|End="0"|StrongNumber="4771"|UnicodeLemma="σύ"|Number="Plural"|FunctionalTag="P-2DP"|Type="Personal"|morphId="47001002002"|NormalizedForm="ὑμῖν"|Case="Dative"|Unicode="ὑμῖν"|FormalTag="P-2DP"|nodeId="470010020020010"|Gloss="to you"|Ref="n47001001013 n47001001022"|LexDomain="092003"|LN="92.7"
47001002001|χάρις|None|CL|id="n47001002001"|ref="2CO 1:2!1"|Cat="noun"|Start="1"|End="1"|StrongNumber="5485"|UnicodeLemma="χάρις"|Gender="Feminine"|Number="Singular"|FunctionalTag="N-NSF"|Type="Common"|morphId="47001002001"|NormalizedForm="χάρις"|Case="Nominative"|Unicode="χάρις"|FormalTag="N-NSF"|nodeId="470010020010010"|Gloss="Grace"|LexDomain="088009"|LN="88.66"
47001002003|καὶ|47001002001|conj|id="n47001002003"|ref="2CO 1:2!3"|Cat="conj"|Start="2"|End="2"|StrongNumber="2532"|UnicodeLemma="καί"|FunctionalTag="CONJ"|Type=""|morphId="47001002003"|NormalizedForm="καί"|Unicode="καὶ"|FormalTag="CONJ"|nodeId="470010020030010"|Gloss="and"|LexDomain="089017"|LN="89.92"
